Nome: CARAVELAS
Codigo Estacao: A405
Latitude: -17.73944444
Longitude: -39.25861111
Altitude: 6.05
Situacao: Pane
Data Inicial: 2002-12-19
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-12-31;null;null;null;null;null;
2003-01-31;89,2;1012,438056;25,709052;7,7;3,436131;
2003-02-28;63,4;1014,288839;25,908185;6,4;2,500744;
2003-03-31;59;1013,427419;25,758199;6,3;2,450672;
2003-04-30;null;null;null;10,5;null;
2003-05-31;null;null;null;null;null;
2003-06-30;null;null;null;null;null;
2003-07-31;null;null;null;null;null;
2003-08-31;null;null;null;null;null;
2003-09-30;null;null;null;null;null;
2003-10-31;null;null;null;null;null;
2003-11-30;null;null;null;null;null;
2003-12-31;null;null;26,836979;6,8;null;
2004-01-31;null;1011,091404;26,550187;8;3,126256;
2004-02-29;null;1012,453673;26,823001;6,2;2,405722;
2004-03-31;null;1012,803226;25,859677;5,9;1,953226;
2004-04-30;null;1014,027276;25,672041;10;1,960248;
2004-05-31;null;1015,771237;25,011828;6,3;2,235887;
2004-06-30;null;1019,54904;23,16622;7,5;1,876407;
2004-07-31;null;1018,896809;22,222066;8,9;2,736711;
2004-08-31;null;1019,388271;22,377472;8,6;2,310309;
2004-09-30;null;1018,125344;23,672651;5,9;2,312983;
2004-10-31;null;1014,621335;24,830844;9,6;3,251207;
2004-11-30;null;1013,106848;25,712437;7,7;3,30187;
2004-12-31;null;1011,985799;26,371593;6,8;3,039466;
2005-01-31;null;1010,933877;27,001728;7,2;2,870329;
2005-02-28;null;1011,140447;26,725989;7,4;2,934678;
2005-03-31;null;1012,490978;27,107934;5,6;2,070362;
2005-04-30;null;1014,286431;26,337052;7,8;1,759258;
2005-05-31;null;1016,061033;24,894019;7,6;2,628211;
2005-06-30;null;null;null;null;null;
2005-07-31;null;null;null;null;null;
2005-08-31;null;null;null;null;null;
2005-09-30;null;null;null;null;null;
2005-10-31;null;null;null;null;null;
2005-11-30;null;null;null;null;null;
2005-12-31;null;null;null;null;null;
2006-01-31;null;null;null;null;null;
2006-02-28;null;null;null;null;null;
2006-03-31;null;null;null;null;null;
2006-04-30;null;null;26,052745;7,4;null;
2006-05-31;null;null;23,487967;9,1;null;
2006-06-30;54;1019,209959;22,810187;7,7;2,556813;
2006-07-31;31,8;1019,514656;21,797487;7,1;1,958561;
2006-08-31;null;null;null;9,2;null;
2006-09-30;148,6;1017,527164;23,294455;8,7;2,967633;
2006-10-31;null;null;null;6,5;null;
2006-11-30;null;null;null;7,1;null;
2006-12-31;null;null;null;8,9;null;
2007-01-31;null;null;null;7,3;null;
2007-02-28;null;null;null;null;null;
2007-03-31;null;null;null;null;null;
2007-04-30;null;1014,405554;null;6,3;1,874469;
2007-05-31;108,8;1015,672992;24,143378;9,1;2,402629;
2007-06-30;35,8;1018,56529;22,780592;6,1;1,677615;
2007-07-31;48,6;1018,516018;22,79896;9,7;2,242602;
2007-08-31;47,8;1019,971178;22,874182;7;2,202478;
2007-09-30;57,4;1019,634889;23,172403;10,2;2,702382;
2007-10-31;98,8;1015,521539;24,224578;7,6;2,95054;
2007-11-30;null;1012,412258;25,413335;8,4;3,309224;
2007-12-31;129,2;1012,037212;25,97063;7,4;3,051467;
2008-01-31;null;1012,088092;25,975145;6,6;2,739532;
2008-02-29;null;1012,00324;26,678092;7,4;2,657785;
2008-03-31;null;1011,763289;null;8,4;2,013463;
2008-04-30;null;null;null;5,6;null;
2008-05-31;null;1015,262362;23,979424;null;null;
2008-06-30;null;1017,92405;22,925559;null;null;
2008-07-31;49,2;1020,279476;21,532778;8,2;2,110096;
2008-08-31;32,4;1018,061238;22,4206;6,5;2,030815;
2008-09-30;null;1017,484717;23,368233;6,9;2,84212;
2008-10-31;18,2;1016,110682;25,116136;7,6;3,044582;
2008-11-30;null;null;25,649478;8;null;
2008-12-31;105,4;1011,735155;25,594248;6,5;2,803793;
2009-01-31;131,8;1012,827977;26,250568;6,6;2,567875;
2009-02-28;15;1012,778093;26,8581;6;2,226255;
2009-03-31;null;1011,433688;26,929717;7,5;2,242233;
2009-04-30;null;null;null;6,4;null;
2009-05-31;58,2;1015,822984;24,057661;6,6;2,163844;
2009-06-30;57;1017,593103;22,731101;7,1;2,060345;
2009-07-31;63,6;1018,329839;22,632124;6,4;1,838441;
2009-08-31;158,4;1018,615323;23,059812;8,4;2,505242;
2009-09-30;95,8;1016,721667;24,385556;7,6;2,863472;
2009-10-31;248;1012,704248;24,916273;6,3;2,727305;
2009-11-30;49;1012,518889;25,784167;7;3,115833;
2009-12-31;13,2;1012,217473;26,911425;7,9;3,002285;
2010-01-31;20,8;1013,632564;27,427199;6,6;2,488441;
2010-02-28;37,2;1013,403274;27,629018;5,8;2,220089;
2010-03-31;181;1011,789074;27,149167;7,1;2,294662;
2010-04-30;245,8;1013,939338;25,547377;8;2,23994;
2010-05-31;null;null;null;6,3;null;
2010-06-30;null;null;null;8,3;null;
2010-07-31;null;null;null;5,3;null;
2010-08-31;null;null;null;7,9;null;
