Nome: VITORIA DA CONQUISTA
Codigo Estacao: A414
Latitude: -14.88638888
Longitude: -40.80138888
Altitude: 879.38
Situacao: Operante
Data Inicial: 2007-05-31
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;null;null;null;null;
2007-06-30;0;920,653464;17,515211;6,1;2,469641;
2007-07-31;0;920,434023;17,593683;5,6;2,553255;
2007-08-31;0;921,066702;17,180727;6,6;3,142035;
2007-09-30;0;920,799444;18,4125;7,1;3,28375;
2007-10-31;0;917,639551;20,214446;6;3,067035;
2007-11-30;0;915,384861;21,59125;6,5;2,995694;
2007-12-31;0;915,496237;21,133736;9,6;2,404704;
2008-01-31;0;915,489785;21,3375;5,8;2,353763;
2008-02-29;0;915,823076;21,795952;5;2,22445;
2008-03-31;0;915,663426;21,140123;4,7;2,106636;
2008-04-30;0;915,354306;21,61625;4,9;2,088611;
2008-05-31;0;917,938353;19,729488;5,3;2,374088;
2008-06-30;0;920,028639;17,86833;6,1;2,686623;
2008-07-31;0;921,285349;16,632124;6,3;2,736962;
2008-08-31;0;919,372984;18,22957;5,8;2,836962;
2008-09-30;0;919,1075;19,618889;5,7;2,973472;
2008-10-31;0;918,280107;21,154839;6,9;3,157258;
2008-11-30;132,8;915,407615;21,982011;7,4;2,676636;
2008-12-31;106,8;915,100672;21,178898;5,8;2,44543;
2009-01-31;161,4;916,147207;21,638978;null;null;
2009-02-28;36,2;915,917005;21,527719;null;null;
2009-03-31;109,8;914,91707;22,802957;null;null;
2009-04-30;167;916,765972;20,758056;null;null;
2009-05-31;24;918,291667;18,959274;null;null;
2009-06-30;39,8;919,634444;18,480694;null;null;
2009-07-31;14,4;920,138978;18,098925;null;null;
2009-08-31;22,8;920,029839;18,294624;null;null;
2009-09-30;27,6;918,780942;20,705743;null;null;
2009-10-31;172,4;915,607328;21,588649;5,8;null;
2009-11-30;8,6;915,706111;21,922917;5,6;2,71;
2009-12-31;69,2;915,95336;22,570161;6;2,382796;
2010-01-31;50,4;916,663649;22,344257;5,8;2,545296;
2010-02-28;8,4;916,544048;23,058631;6,1;2,556994;
2010-03-31;176;915,994893;22,524597;5,3;2,060484;
2010-04-30;76,2;917,1375;20,936806;5,9;2,285278;
2010-05-31;16,8;917,54664;20,712366;5,5;2,058333;
2010-06-30;20,6;920,796667;17,884722;6,2;2,584444;
2010-07-31;46,8;921,267473;17,357527;6,2;2,968548;
2010-08-31;19,6;921,147319;17,081093;6;2,694046;
2010-09-30;15;919,441944;18,83;6;2,979861;
2010-10-31;33;916,382181;22,111481;6,4;2,961262;
2010-11-30;null;null;null;6,5;null;
2010-12-31;171,8;913,661559;21,705376;5,4;2,250672;
2011-01-31;35,4;915,127957;21,217339;5,4;2,314113;
2011-02-28;34;915,724554;21,876488;7,4;2,376042;
2011-03-31;56,2;914,973577;22,085747;5,5;2,218429;
2011-04-30;68,4;916,985972;20,621944;5,3;2,316389;
2011-05-31;22,2;918,179436;18,90672;4,9;2,394624;
2011-06-30;6,4;919,3425;18,359167;5,7;2,451111;
2011-07-31;27;920,130108;17,49664;6,5;2,427285;
2011-08-31;6,4;919,984543;18,769086;5,7;2,70336;
2011-09-30;12,2;920,695139;18,140139;6,3;3,217083;
2011-10-31;72,6;916,303629;20,377151;6;2,950672;
2011-11-30;111,6;916,44747;19,419643;5,8;2,584077;
2011-12-31;119,4;915,733894;21,164405;5,7;2,345132;
2012-01-31;19,2;916,570004;21,2849;5,2;2,51977;
2012-02-29;24,2;916,603548;21,257721;5,9;2,62545;
2012-03-31;12,6;916,820512;22,048469;5,9;2,514978;
2012-04-30;1,2;916,805972;21,975278;5,7;2,568611;
2012-05-31;28;918,926327;19,326104;5,7;2,504149;
2012-06-30;18,8;920,050483;19,318659;5,9;2,536806;
2012-07-31;17,8;920,535166;17,918536;5,8;2,584824;
2012-08-31;53,6;922,181663;17,189861;6,6;3,215764;
2012-09-30;7,6;920,483466;19,413351;6,5;3,064746;
2012-10-31;49;917,782796;20,5;5,8;2,889785;
2012-11-30;344,8;915,310679;21,149594;5,7;2,125539;
2012-12-31;3,8;915,536962;22,534543;5,8;2,517607;
2013-01-31;101,4;916,297849;22,604435;5,3;2,452554;
2013-02-28;64,6;916,648279;21,765386;5,5;2,57852;
2013-03-31;3;916,552047;22,90679;5,8;2,54982;
2013-04-30;61;917,657361;20,860694;5,4;2,447222;
2013-05-31;13,4;918,500374;20,072861;4,9;2,290591;
2013-06-30;37,8;919,702257;18,952536;5,3;2,30992;
2013-07-31;17,6;920,827688;18,211694;5,3;2,465457;
2013-08-31;19;920,30149;18,099971;5,6;2,731843;
2013-09-30;20,6;919,471075;19,618847;5,9;3,098201;
2013-10-31;28,2;918,149193;20,364651;5,7;3,039528;
2013-11-30;32,6;915,902814;21,646492;5,7;2,874342;
2013-12-31;233,6;914,993735;22,031691;5,8;2,410139;
2014-01-31;60,4;917,523521;21,116398;5;2,452151;
2014-02-28;32,2;916,777165;21,189732;5;2,521429;
2014-03-31;39,4;917,037366;21,743011;4,7;2,419758;
2014-04-30;30;917,28375;21,550139;5;2,310278;
2014-05-31;16;918,325717;20,225074;5,1;2,395753;
2014-06-30;40;920,139378;18,57535;5,9;2,405962;
2014-07-31;28,4;922,24785;17,782258;5,6;2,670564;
2014-08-31;5;921,149328;18,237634;6,9;2,837231;
2014-09-30;5;919,589861;19,945556;6,5;3,204583;
2014-10-31;48,6;918,827419;20,327016;7;3,207124;
2014-11-30;199,2;916,506667;20,809722;5,4;2,512639;
2014-12-31;null;null;null;null;null;
2015-01-31;null;null;null;null;null;
2015-02-28;null;null;null;null;null;
2015-03-31;null;null;null;null;null;
2015-04-30;null;null;null;null;null;
2015-05-31;null;null;null;null;null;
2015-06-30;null;null;null;null;null;
2015-07-31;null;null;17,7575;5,2;null;
2015-08-31;46,2;920,927688;17,755108;5,8;2,610484;
2015-09-30;,4;918,6125;21,146806;6,8;2,926111;
2015-10-31;23,6;918,357527;22,159677;5,3;2,840054;
2015-11-30;53,2;915,792778;23,850139;5,7;2,639445;
2015-12-31;54,4;917,470296;23,875806;5,6;2,664247;
2016-01-31;216,2;916,208468;22,716129;5,9;2,205914;
2016-02-29;3,8;917,672127;22,770833;5,3;2,196983;
2016-03-31;20,6;918,030511;22,938038;4,9;2,310215;
2016-04-30;8,4;917,900972;21,961111;5,3;2,348333;
2016-05-31;5,2;919,653495;20,638978;5,4;2,289113;
2016-06-30;18,6;921,005833;19,600278;6,4;2,522361;
2016-07-31;32,2;921,108737;18,405645;5,2;2,487634;
2016-08-31;28;920,482013;19,012523;5,6;2,677425;
2016-09-30;53,4;919,649583;20,005417;5,5;2,824306;
2016-10-31;23,2;917,418817;21,313844;5,9;2,791667;
2016-11-30;121,8;916,514861;21,282083;5,1;2,467083;
2016-12-31;111,2;916,537769;21,773656;5,7;2,36129;
2017-01-31;3,8;916,778091;22,72379;4,7;2,550672;
2017-02-28;71,4;916,757292;21,729762;5,2;2,329464;
2017-03-31;114,8;916,589247;22,197715;4,9;2,319086;
2017-04-30;82,4;917,791667;20,885278;5;2,202778;
2017-05-31;25,4;918,932661;19,424059;5,2;2,244086;
2017-06-30;42,4;920,610694;18,483611;5;2,419722;
2017-07-31;84,4;923,493011;15,985887;5,7;2,866263;
2017-08-31;16;920,467608;17,131855;4,9;2,372984;
2017-09-30;33,4;921,672778;17,837222;6,2;2,945139;
2017-10-31;2;918,030645;21,051747;6,9;2,933065;
2017-11-30;111,6;915,927083;21,147778;5,6;2,539251;
2017-12-31;110,6;915,597043;22,043414;5,7;2,241398;
2018-01-31;115,2;916,430242;21,993011;6,4;2,286425;
2018-02-28;null;null;null;4,9;null;
2018-03-31;null;915,609995;null;5,4;1,920917;
2018-04-30;null;917,987605;null;5;2,342816;
2018-05-31;null;919,362575;18,806318;5;2,430857;
2018-06-30;null;920,86375;18,013289;6,1;2,069781;
2018-07-31;null;920,866043;null;5;2,221216;
2018-08-31;null;920,528755;19,391504;5,7;2,514973;
2018-09-30;null;917,962694;20,840607;5,7;2,783144;
2018-10-31;null;916,689118;21,65307;5,6;2,598166;
2018-11-30;null;916,563329;20,944099;4,4;2,290441;
2018-12-31;134,4;916,83251;21,553321;4,9;2,070433;
2019-01-31;null;null;null;5;null;
2019-02-28;null;null;null;4,1;null;
2019-03-31;60,8;916,804704;23,038172;5,5;2,110484;
2019-04-30;99,2;917,097083;21,954306;4,8;1,917083;
2019-05-31;11,8;917,905242;21,142608;4,4;2,036559;
2019-06-30;39,4;921,246806;18,684444;5,3;2,348194;
2019-07-31;26;920,888844;17,895833;5,7;2,683468;
2019-08-31;31,2;922,233602;18,109543;6,9;2,622715;
2019-09-30;10,8;919,632917;20,078889;5,9;2,969722;
2019-10-31;27,8;917,541801;21,659409;6;2,77957;
2019-11-30;22,6;915,627639;23,022222;5,5;2,694722;
