Nome: LENCOIS
Codigo Estacao: A425
Latitude: -12.557854
Longitude: -41.388808
Altitude: 438.09
Situacao: Operante
Data Inicial: 2008-04-04
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;962,136051;26,185507;3,7;,837681;
2008-05-31;34,6;964,71087;24,081171;5;,948031;
2008-06-30;80,6;966,956697;22,552213;4,7;1,123932;
2008-07-31;27,8;968,481452;21,723253;4,7;1,168548;
2008-08-31;35,6;966,333199;23,335618;4,6;1,160618;
2008-09-30;27,2;966,181111;24,595556;4,7;1,203056;
2008-10-31;9,4;965,028226;26,300806;5,6;1,544624;
2008-11-30;138;962,065694;26,507361;4,7;1,157222;
2008-12-31;172,2;961,87621;25,674731;5,4;1,094086;
2009-01-31;146,4;962,731183;26,332258;5,9;1,129301;
2009-02-28;68,8;962,325298;26,780208;5,8;1,13244;
2009-03-31;103,8;961,083064;28,281317;5,8;,994221;
2009-04-30;299,6;963,190556;25,771945;6,8;,981806;
2009-05-31;101,2;964,793279;24,85914;4,3;1,100269;
2009-06-30;69,8;966,604444;24,596667;4,8;1,035417;
2009-07-31;44,8;967,194758;25,557667;4,1;,966398;
2009-08-31;34,6;966,940054;27,214043;5,4;1,192204;
2009-09-30;17;965,665694;28,382319;4;1,140417;
2009-10-31;null;962,415813;25,279775;7,5;,919968;
2009-11-30;21,2;962,681214;25,006987;3,3;,944795;
2009-12-31;84,6;962,69571;25,35349;6,8;1,060378;
2010-01-31;34;963,140273;26,223395;4,3;1,172551;
2010-02-28;26,2;962,751514;26,932428;5,2;1,348344;
2010-03-31;109,6;962,48821;26,029289;7,3;1,114434;
2010-04-30;219,6;963,580694;24,493056;5,2;1,144028;
2010-05-31;42;964,233199;24,059812;4,7;,810349;
2010-06-30;4,6;967,475833;22,593611;5;1,2;
2010-07-31;78,2;968,066316;21,480119;4,7;1,311524;
2010-08-31;21,6;968,164834;21,745186;4,7;1,253201;
