Nome: IPIAU
Codigo Estacao: A445
Latitude: -14.17138888
Longitude: -39.69249999
Altitude: 132.11
Situacao: Pane
Data Inicial: 2009-06-29
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-06-30;null;null;null;null;null;
2009-07-31;116,8;1002,912231;21,972581;4,7;1,167742;
2009-08-31;100,2;1002,920968;21,861022;6;1,305376;
2009-09-30;48;1001,577114;23,413243;5,4;1,367899;
2009-10-31;77,2;997,669109;25,137356;5,9;1,393391;
2009-11-30;50,8;997,875;24,975694;5,6;1,146667;
2009-12-31;31,6;997,669758;26,362366;7,8;1,60121;
2010-01-31;53,2;998,467546;25,775428;7,3;1,717082;
2010-02-28;53,2;998,164286;26,119643;7,7;1,721577;
2010-03-31;211,8;997,240995;26,215591;5,8;1,438575;
2010-04-30;110;998,684722;24,843333;5,4;1,333056;
2010-05-31;38,2;999,410484;24,193952;5,1;1,200269;
2010-06-30;28,8;1003,436528;22,016389;6,2;1,529306;
2010-07-31;188,2;1004,125672;21,463441;6;1,519489;
2010-08-31;50,8;1004,440097;20,941637;5,8;1,429354;
2010-09-30;59;1002,635972;21,858194;6;1,625556;
2010-10-31;68,2;998,81239;24,548326;6;1,634164;
2010-11-30;90,4;997,071667;25,073333;5,8;1,644028;
2010-12-31;222;995,332796;25,538844;5,1;1,489382;
2011-01-31;95,4;996,844624;25,263441;5,4;1,530376;
2011-02-28;63,4;997,498958;25,313095;5,5;1,549554;
2011-03-31;133;996,322616;26,08238;7,9;1,511866;
2011-04-30;202,2;998,615833;24,534861;5,3;1,31625;
2011-05-31;96,8;1000,419086;22,849194;5,2;1,157527;
2011-06-30;30,8;1002,065139;21,87875;4,3;1,14625;
2011-07-31;132,2;1003,214651;21,039516;5,9;1,249597;
2011-08-31;53;1003,186693;21,586559;5,8;1,327238;
2011-09-30;56,6;1004,136667;21,058611;5,7;1,574167;
2011-10-31;127;998,861156;23,520296;5,7;1,677957;
2011-11-30;162,4;999,00024;23,186174;5;1,526692;
2011-12-31;100,6;997,850403;24,750403;5,3;1,460215;
2012-01-31;34,6;998,693548;24,783602;5,6;1,61828;
2012-02-29;111,6;998,739368;24,35158;6,6;1,575144;
2012-03-31;92;998,938306;24,798521;5,7;1,50793;
2012-04-30;30;998,951806;24,348333;5,4;1,453333;
2012-05-31;75,2;1001,257392;23,095027;5;1,409812;
2012-06-30;71,8;1002,765694;22,26375;4,8;1,193889;
2012-07-31;71,4;1003,568011;21,270564;6,1;1,341532;
2012-08-31;126;1005,53149;20,674028;7;1,595334;
2012-09-30;null;1003,466761;22,389509;5,6;1,586082;
2012-10-31;60,6;1000,74328;23,169355;5,8;1,638575;
2012-11-30;92,4;997,368333;24,791528;5,2;1,465556;
2012-12-31;15,8;997,507124;25,796909;5,6;1,742204;
2013-01-31;194,2;998,208871;25,84086;6,7;1,674328;
2013-02-28;86;998,586161;25,144048;5,5;1,549107;
2013-03-31;30,8;998,404694;25,578448;5,3;1,502417;
2013-04-30;113,2;999,485139;24,570833;5,6;1,342083;
2013-05-31;65,4;1000,689113;23,656452;5,1;1,275538;
2013-06-30;111,8;1002,115126;22,691263;5,6;1,179823;
2013-07-31;80,2;1003,703495;21,684812;4,9;1,258333;
2013-08-31;106;1003,381855;21,328764;4,4;1,269624;
2013-09-30;37,6;1002,507778;22,58125;5,3;1,474583;
2013-10-31;12;1000,940457;23,594489;6,3;1,744893;
2013-11-30;null;998,336389;24,037639;6;1,598194;
2013-12-31;null;996,949866;25,613038;5,7;1,58172;
2014-01-31;null;999,582661;24,535753;5,6;1,433737;
2014-02-28;null;998,728423;24,427232;6,6;1,482143;
2014-03-31;null;999,004435;24,715054;5,8;1,340054;
2014-04-30;null;999,099028;24,746806;4,8;1,25625;
2014-05-31;60,2;1000,498656;23,40914;5,3;1,203495;
2014-06-30;118,4;1002,834167;21,83125;6,2;1,07875;
2014-07-31;102,4;1005,290995;21,475672;4,9;1,287769;
2014-08-31;31,4;1004,45121;21,17621;4,8;1,283468;
2014-09-30;22,2;1002,845972;22,388472;6,2;1,680139;
2014-10-31;37,8;1001,743145;23,491532;5,6;1,807661;
2014-11-30;195,2;998,821806;24,248056;5,5;1,536806;
2014-12-31;323;999,249194;24,453629;5,7;1,372312;
2015-01-31;72,6;1000,193934;24,678535;5,1;1,322329;
2015-02-28;110;999,193452;25,14494;6;1,50997;
2015-03-31;40,2;998,566801;25,641129;5,4;1,329301;
2015-04-30;31,6;998,696389;25,770278;6,3;1,402361;
2015-05-31;66,8;1001,335349;23,850134;4,8;1,419758;
2015-06-30;175;1003,913611;22,193889;5,9;1,320972;
2015-07-31;117,6;1004,219624;21,818011;5,9;1,221237;
2015-08-31;null;null;null;null;null;
2015-09-30;null;null;23,148529;5,3;null;
2015-10-31;28,6;1001,055511;24,404167;5,7;1,676075;
2015-11-30;2,2;997,841806;26,491944;5,9;1,934167;
2015-12-31;5,6;999,632124;26,924059;6,7;2,059005;
2016-01-31;193,2;997,816263;26,673925;5,7;1,623387;
2016-02-29;13;999,360632;26,496408;5,7;1,52342;
2016-03-31;32,2;999,710753;26,542473;5,8;1,603629;
2016-04-30;63;999,761389;25,14875;5,4;1,420833;
2016-05-31;25;1001,850403;24,086962;5,2;1,366801;
2016-06-30;90,4;1003,624861;23,056389;4,3;1,39875;
2016-07-31;98;1004,088441;21,65121;4,7;1,167204;
2016-08-31;83,6;1003,579032;21,877957;4,3;1,259677;
2016-09-30;61;1002,768472;22,317083;4,6;1,382222;
2016-10-31;87,6;999,88549;24,133287;5,9;1,517824;
2016-11-30;135,2;998,811806;24,321667;5,4;1,364028;
2016-12-31;36,6;998,436693;25,402419;5,8;1,626344;
2017-01-31;30,2;998,849462;25,798656;5,7;1,839247;
2017-02-28;128,4;998,622917;25,113244;5,8;1,509226;
2017-03-31;79,8;998,369758;25,225941;5,6;1,408737;
2017-04-30;85,4;999,522361;24,846528;5,4;1,248333;
2017-05-31;76,8;1001,176747;23,274194;5,8;1,239651;
2017-06-30;104,2;1003,227222;22,206111;5,5;1,255139;
2017-07-31;null;null;19,9175;5,4;null;
2017-08-31;42;1003,760349;21,037634;5,3;1,248118;
2017-09-30;81,2;1005,053611;21,365;5,9;1,683194;
