Nome: JEREMOABO
Codigo Estacao: A450
Latitude: -10.08083332
Longitude: -38.34583333
Altitude: 261
Situacao: Pane
Data Inicial: 2015-08-12
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;null;null;null;null;
2015-09-30;21;985,440556;25,472222;6,8;3,069444;
2015-10-31;21;984,7375;26,336022;7;3,269624;
2015-11-30;0;981,845556;28,368889;6,8;3,279167;
2015-12-31;13,4;983,571505;28,056048;6,8;3,475672;
2016-01-31;285;982,468548;26,948387;6,8;2,245118;
2016-02-29;36,8;983,400287;27,164224;5,9;2,565374;
2016-03-31;19;983,494624;28,032393;6,6;2,877016;
2016-04-30;30,2;983,291806;27,190695;6,4;2,899444;
2016-05-31;84,6;985,45071;25,610833;6,1;2,560918;
2016-06-30;37,8;987,131111;24,024444;5,6;2,190278;
2016-07-31;24,2;987,382527;23,045833;7,3;2,429436;
2016-08-31;15,6;986,941486;23,875164;8;2,657217;
2016-09-30;11,8;986,047222;25,268194;6,9;3,111944;
2016-10-31;5,8;983,439633;27,085647;7;3,621295;
2016-11-30;2,6;982,254921;27,896866;6,9;3,754143;
2016-12-31;13,4;982,020529;28,04789;7,6;3,54976;
2017-01-31;0;982,535484;28,000672;6,9;3,627285;
2017-02-28;3,2;982,055764;28,188426;7,7;3,591761;
2017-03-31;2,2;981,99621;28,176353;8;3,101346;
2017-04-30;56,4;983,039722;26,948195;6,9;2,887917;
2017-05-31;60,4;984,524731;25,28871;6,8;2,415457;
2017-06-30;87,4;986,319861;23,334861;6,9;2,321945;
2017-07-31;70,4;989,210753;21,396774;7,7;2,585887;
2017-08-31;26,8;987,044624;22,896774;6,7;2,388172;
2017-09-30;120,4;987,647222;22,622083;7,5;3,004722;
2017-10-31;null;null;24,6375;6;null;
2017-11-30;null;981,626215;27,211806;7,1;2,965104;
2017-12-31;16,6;981,564516;27,794758;7,4;2,952016;
2018-01-31;23,8;982,123253;27,745968;7,2;3,251613;
2018-02-28;51,4;981,412351;27,825446;7,3;2,995238;
2018-03-31;43,4;981,622043;27,795968;8;2,490188;
2018-04-30;22,8;983,441099;26,378744;6,4;2,606002;
2018-05-31;20;984,901613;25,362366;7,5;2,690054;
2018-06-30;63,2;986,894106;23,762373;6,4;2,230996;
2018-07-31;34,8;987,418548;22,87043;6,2;2,170565;
2018-08-31;15,8;987,225;24,250403;6,6;2,665054;
2018-09-30;4,8;984,788889;25,68125;6,4;3,330139;
2018-10-31;2,6;982,904301;27,425672;7,4;3,34086;
2018-11-30;16,2;982,442361;27,467083;7,4;3,757083;
2018-12-31;74,2;983,117473;27,094355;6,7;2,779301;
2019-01-31;3,6;983,822849;27,833737;6,7;3,327285;
2019-02-28;9,8;981,919468;28,972619;7,5;2,99408;
2019-03-31;156;982,568817;27,778629;9,3;2,508333;
2019-04-30;null;982,710139;27,530972;7,8;2,297361;
2019-05-31;44;983,486156;26,557392;5,1;2,152823;
2019-06-30;116,4;986,880417;23,491667;5,8;2,107639;
2019-07-31;94;987,000269;22,540591;5,7;1,899597;
2019-08-31;52,8;988,590323;22,468011;6,3;2,134812;
2019-09-30;22,2;986,090833;24,554167;6;2,326389;
2019-10-31;4,6;983,753226;26,459274;6,1;2,884274;
2019-11-30;,6;981,639583;27,936806;6,5;3,116945;
2019-12-31;,8;981,907772;28,273937;7,1;3,244831;
2020-01-31;74,2;982,085314;28,227168;6,4;2,575269;
2020-02-29;90;982,390161;27,922183;6,5;2,364899;
2020-03-31;182,6;982,046626;27,410616;6,6;2,22847;
2020-04-30;106;983,245556;26,626667;6,6;1,976769;
2020-05-31;82,6;985,001075;24,783199;6,1;1,851479;
2020-06-30;125,8;986,065459;23,241606;6,5;1,847307;
2020-07-31;62,6;986,510396;22,23868;5,6;1,862301;
2020-08-31;47,2;986,756297;22,631946;7,9;2,137067;
2020-09-30;15;985,883767;24,289543;6,8;2,633467;
2020-10-31;56,2;983,154839;26,969495;6,1;2,831796;
2020-11-30;113,6;982,539994;26,410809;5,8;2,547796;
2020-12-31;13,2;982,419967;27,298755;6,4;2,840386;
2021-01-31;7,6;982,047312;27,213219;6,5;2,786974;
2021-02-28;38,6;981,401934;27,929018;7,1;2,646577;
2021-03-31;6;981,952285;27,63172;7,2;2,913307;
2021-04-30;127,4;982,609028;26,514861;6,6;2,515556;
2021-05-31;74,6;984,986156;24,14328;6,3;2,03871;
2021-06-30;46,6;985,868152;23,47311;5,7;1,801993;
2021-07-31;78,2;987,53629;22,715305;6,4;1,952519;
2021-08-31;32,8;987,296102;22,940995;6,1;2,162366;
2021-09-30;13,4;985,444167;25,643611;5,4;2,518194;
2021-10-31;43,8;983,137231;27,173521;6;2,816532;
2021-11-30;65,6;981,374028;27,28375;6,6;2,576111;
2021-12-31;91,4;980,983065;27,147177;6,4;2,619893;

