Nome: FORMOSA DO RIO PRETO
Codigo Estacao: A452
Latitude: -11.05222222
Longitude: -45.20083333
Altitude: 488
Situacao: Operante
Data Inicial: 2016-06-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-06-30;null;961,143364;23,339661;5,8;1,376389;
2016-07-31;0;960,642876;21,976075;5,9;1,368952;
2016-08-31;0;959,491801;24,265457;5;1,472984;
2016-09-30;25;958,488056;25,86375;4,8;1,496806;
2016-10-31;32,6;956,251841;27,147493;6,1;1,56499;
2016-11-30;192,6;955,775833;26,2425;4,9;1,384167;
2016-12-31;130;956,367742;25,425672;4,9;1,330914;
2017-01-31;109,2;956,541801;25,634812;6,8;1,261425;
2017-02-28;219,4;957,072768;24,34375;4,2;1,187946;
2017-03-31;113,8;956,950941;24,723522;4,3;1,118683;
2017-04-30;null;null;24,671814;3,9;null;
2017-05-31;null;null;null;5,2;null;
2017-06-30;null;null;null;4,8;null;
2017-07-31;null;null;null;6,1;null;
2017-08-31;null;null;24,232222;5,2;null;
2017-09-30;0;959,775556;25,548194;5,7;1,979167;
2017-10-31;0;956,078006;28,511205;5,6;1,679685;
2017-11-30;107,6;955,568182;26,386421;6;1,376515;
2017-12-31;202;955,666129;25,816398;6,6;1,254032;
2018-01-31;53,8;956,222353;25,518437;5,8;1,325064;
2018-02-28;327,2;956,404911;24,231994;4,9;1,139137;
2018-03-31;210,8;956,692876;24,570699;5,5;1,169086;
2018-04-30;null;957,922083;24,193472;3,8;1,053333;
2018-05-31;,2;958,874462;24,027285;4,3;1,146237;
2018-06-30;0;960,369028;22,18;4,9;1,232639;
2018-07-31;2;960,235618;21,709005;4,8;1,255108;
2018-08-31;33;959,585887;24,660215;4,5;1,359677;
2018-09-30;0;956,493056;26,679583;4,2;1,260972;
2018-10-31;188,4;955,729301;27,604167;5,7;1,239113;
2018-11-30;210,6;955,797361;25,958889;4,5;1,204583;
2018-12-31;183,6;957,576747;24,197446;5,1;1,181183;
2019-01-31;65,8;957,654839;25,593548;4,4;1,109274;
2019-02-28;221,6;956,917411;25,364286;5,3;1,119643;
2019-03-31;238;957,388441;25,013979;6;1,117339;
2019-04-30;96,4;957,462222;24,790972;4,9;,976389;
2019-05-31;50;957,743414;24,392473;2,9;,909005;
2019-06-30;0;960,499444;22,408472;4,9;1,139583;
2019-07-31;3,2;960,251882;22,152419;4,6;1,165323;
2019-08-31;0;960,990591;23,1125;4,8;1,434005;
2019-09-30;2,6;957,970278;26,240833;4,8;1,412083;
2019-10-31;20,2;955,87379;28,048253;5,4;1,387903;
2019-11-30;25,2;954,630833;28,8;4,7;1,4575;
2019-12-31;47,4;955,171102;28,07957;5,9;1,442204;
2020-01-31;242,8;956,890591;25,67379;5,3;1,205914;
2020-02-29;149,6;957,313793;25,281609;4,9;1,094684;
2020-03-31;257,6;957,404839;24,503495;4,2;1,016667;
2020-04-30;78,8;958,235145;24,838031;4,1;1,027077;
2020-05-31;12,2;959,45058;24,098517;3,7;1,08668;
2020-06-30;0;960,078186;22,583308;4,9;1,167837;
2020-07-31;0;959,914974;22,230229;4,3;1,229383;
2020-08-31;null;959,225515;24,011992;4,9;1,425754;
2020-09-30;null;958,195773;null;4,5;1,500018;
2020-10-31;null;null;null;6,1;null;
2020-11-30;null;null;null;6,1;null;
2020-12-31;null;null;null;null;null;
2021-01-31;null;null;null;null;null;
2021-02-28;null;null;null;null;null;
2021-03-31;null;null;null;null;null;
2021-04-30;null;null;null;null;null;
2021-05-31;null;null;null;null;null;
2021-06-30;null;null;null;null;null;
2021-07-31;null;null;null;null;null;
2021-08-31;null;null;null;null;null;
2021-09-30;null;null;27,120833;4,1;null;
2021-10-31;54,4;955,938844;28,188441;4,9;1,358199;
2021-11-30;410,4;955,841443;25,159402;5,9;1,11997;
2021-12-31;410,8;955,459543;24,568683;4,9;,98414;

