Nome: RIBEIRA DO AMPARO
Codigo Estacao: A458
Latitude: -11.05861111
Longitude: -38.44416666
Altitude: 182
Situacao: Operante
Data Inicial: 2018-09-19
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-09-30;null;null;null;null;null;
2018-10-31;56,8;992,199402;26,515453;8,8;3,196341;
2018-11-30;142;991,630531;26,86593;8,6;3,339318;
2018-12-31;20,6;992,117876;26,790697;7,7;2,505487;
2019-01-31;8,2;992,980137;27,116111;7,9;2,89141;
2019-02-28;38,8;990,918071;28,367844;7,6;2,522703;
2019-03-31;113;991,522341;27,398855;7,9;2,229622;
2019-04-30;5,6;991,669306;26,901111;6,6;1,84375;
2019-05-31;19,8;992,533199;25,944355;6,5;1,954704;
2019-06-30;120,8;996,140556;23,063056;7,7;1,921667;
2019-07-31;88,2;996,244758;22,315457;6,7;1,916936;
2019-08-31;29;997,872474;22,4632;7,5;2,21621;
2019-09-30;23,6;995,359583;24,107639;8,2;2,463472;
2019-10-31;13,4;993,015165;25,795296;7,4;2,921873;
2019-11-30;6,2;990,795414;27,294928;7,4;3,135517;
2019-12-31;9,6;990,990422;27,721587;8,5;3,246774;
2020-01-31;60,4;991,114516;27,808468;8;2,491129;
2020-02-29;53,8;991,406659;27,871539;7,8;2,295858;
2020-03-31;233,6;991,082171;27,040211;7,3;1,802913;
2020-04-30;111,6;992,356389;26,16625;6,8;1,717778;
2020-05-31;100;994,151747;24,506183;6,5;1,659677;
2020-06-30;107,8;995,32375;23,173889;6,6;1,660833;
2020-07-31;null;null;null;null;null;
2020-08-31;null;null;null;null;null;
2020-09-30;null;null;null;null;null;
2020-10-31;null;null;null;null;null;
2020-11-30;null;null;null;null;null;
2020-12-31;1,2;991,575736;26,822666;7,8;2,780979;
2021-01-31;null;991,31089;26,503127;7,4;2,645176;
2021-02-28;32,2;990,488438;27,371079;7,8;2,417482;
2021-03-31;16,6;991,114638;26,915631;8,1;2,496935;
2021-04-30;78,6;991,755362;26,107941;7,8;2,107258;
2021-05-31;62;994,209812;23,677151;7,3;1,835887;
2021-06-30;48;995,152778;22,854306;5,9;1,663056;
2021-07-31;110,4;996,92306;22,281113;7,1;1,796424;
2021-08-31;23,6;996,763844;21,933602;7,2;1,972849;
2021-09-30;10;994,835646;24,468599;7;2,451347;
2021-10-31;16;992,37655;26,588934;6,6;2,765912;
2021-11-30;158,2;990,56907;26,387805;8,6;2,1508;
2021-12-31;95;990,13013;26,195733;7,7;1,926853;

